PlaceName;Pokemons
Victory Road;"['Onix', 'Machop', 'Zubat', 'Geodude','Golbat', 'Machoke', 'Marowak', 'Graveler', 'Venomoth', 'Moltres']"
Route 23;"['Ditto', 'Fearow', 'Ekans', 'Sandshrew', 'Spearow', 'Arbok', 'Sandslash', 'Nidorino', 'Nidorina', 'Mankey', 'Primeape', 'Magikarp', 'Poliwag', 'Goldeen', 'Slowbro', 'Kingler', 'Seadra', 'Seaking', 'Poliwhirl']"
Route 22;"['Rattata', 'Nidoran♂', 'Nidoran♀', 'Spearow', 'Mankey', 'Magikarp', 'Poliwag', 'Goldeen', 'Poliwhirl']"
Route 1;"['Pidgey', 'Rattata']"
Viridian City;"['Magikarp', 'Poliwag', 'Goldeen', 'Tentacool']"
Route 2;"['Rattata', 'Pidgey', 'Weedle', 'Caterpie', 'Nidoran♂', 'Nidoran♀', 'Mr. Mime']"
Viridian Forest;"['Weedle', 'Caterpie', 'Kakuna', 'Metapod', 'Pikachu', 'Pidgey', 'Pidgeotto']"
Route 3;"['Pidgey', 'Spearow', 'Rattata', 'Sandshrew', 'Mankey', 'Jigglypuff']"
Mt. Moon;"['Zubat', 'Geodude', 'Paras', 'Clefairy', 'Sandshrew']"
Route 4;"['Rattata', 'Spearow', 'Ekans', 'Sandshrew', 'Mankey', 'Magikarp']"
Cerulean Cave;"['Golbat', 'Magneton', 'Hypno', 'Arbok', 'Sandslash', 'Venomoth', 'Dodrio', 'Parasect', 'Kadabra', 'Raichu', 'Ditto', 'Graveler', 'Gloom', 'Weepinbell', 'Electrode', 'Marowak', 'Rhydon', 'Wigglytuff', 'Chansey', 'Rhyhorn', 'Lickitung', 'Magikarp', 'Poliwag', 'Goldeen', 'Slowbro', 'Krabby', 'Seadra', 'Seaking', 'Mewtwo']"
Cerulean City;"['Magikarp', 'Poliwag', 'Goldeen', 'Psyduck', 'Krabby', 'Seaking', 'Bulbasaur']"
Route 24;"['Weedle', 'Caterpie', 'Oddish', 'Bellsprout', 'Pidgey', 'Kakuna', 'Metapod', 'Abra', 'Venonat', 'Pidgeotto', 'Magikarp', 'Poliwag', 'Goldeen', 'Psyduck', 'Krabby', 'Seaking', 'Charmander']"
